"MAKE_NEW","NEW_MODEL","car_type","n"
"-","POP","OTHER",1
"-","TRAILER","OTHER",2
"???","???","OTHER",1
".",".","OTHER",8
".","CARRY","OTHER",1
".","TRAILER","OTHER",10
".000","0000","OTHER",1
"""22""""""","BOAT","OTHER",1
"******","******","OTHER",1
"<MAKE>","<MODEL>","OTHER",8
"<MAKE>","TRAILER","OTHER",1
"0","0","OTHER",1
"0","TRAILER","OTHER",1
"0000","LOOSE","OTHER",1
"000000","0000000","OTHER",1
"01","01","OTHER",1
"01012018","LOOSE","OTHER",1
"022","0220","OTHER",1
"1","1","OTHER",24
"1","2","OTHER",1
"1","AXLE","OTHER",1
"1","CARRY","OTHER",2
"1","CORRECTION","OTHER",1
"1","LOOSE","OTHER",1
"1","TRAILER","OTHER",1
"10","FLATBED","OTHER",1
"10","FOOT","OTHER",1
"10","FT","OTHER",1
"10'","CARGO","OTHER",1
"12'","ENCLOSED","OTHER",1
"12'","FLATBED","OTHER",1
"12'","UTILITY","OTHER",1
"12''","HORSE","OTHER",1
"1200 CUSTOM","SPORTSTER","OTHER",1
"14","FOOT","OTHER",2
"14","FT","OTHER",1
"14","TRAILER","OTHER",1
"14'","FLATBED","OTHER",1
"14'","UTILITY","OTHER",1
"16","FOOT","OTHER",1
"16","FT","OTHER",1
"16 PRO BUILD","DUMP","OTHER",1
"16.6","TRAILER","OTHER",1
"16'","BOX","OTHER",1
"16'","LARK","OTHER",1
"16'","UTILITY","OTHER",4
"18","FOOT","OTHER",1
"18","FT","OTHER",1
"18'","FLATBED","OTHER",1
"18'","UTILITY","OTHER",1
"19'","BOAT","OTHER",1
"1999","1999","OTHER",1
"1999","LOOSE","OTHER",3
"1999","TAILER","OTHER",1
"1999","TAIRLER","OTHER",1
"1999","TRAILER","OTHER",3
"1999 LOOSE","LOOSE","OTHER",1
"20","FOOT","OTHER",2
"20","FT","OTHER",1
"20'","UTILITY","OTHER",1
"2001","HORSE","OTHER",1
"2002","LOOSE","OTHER",1
"2005","TRAILER","OTHER",1
"2006","DAMON","OTHER",1
"2007","KAWASAKI","OTHER",1
"2009","YAMAHA","OTHER",1
"2013","BOAT","OTHER",1
"2015","TRAILOR","OTHER",1
"2222","55","OTHER",1
"24","FOOT","OTHER",1
"25","FOOT","OTHER",1
"2500","TRAILER","OTHER",1
"260","L","OTHER",1
"29","FOOT","OTHER",1
"308 BHS LIGH","TRAVEL","OTHER",1
"31","FOOT","OTHER",1
"38","TRAILER","OTHER",1
"38'","MOTOR","OTHER",1
"3BAR","UTILITY","OTHER",1
"4","TRAILER","OTHER",1
"4","WHEELER","OTHER",1
"4 STAR","ALUMINUM","OTHER",1
"4 STAR","GOOSENECK","OTHER",1
"4 STAR","HORSE","OTHER",1
"4 STAR","TRL","OTHER",1
"40'","GOOSE","OTHER",1
"4000","MOTORCYCLE","OTHER",1
"4STAR","TRL","OTHER",1
"4X4","TRAILER","OTHER",1
"5","TH","OTHER",1
"5TH","2","OTHER",1
"5TH","WHEEL","OTHER",10
"5TH AIRBORNE","DENALI","OTHER",1
"5X5","UTLITY","OTHER",1
"77","DODSON","OTHER",1
"7OYOTA","COROLLA","OTHER",1
"7X16TA","BOX","OTHER",1
"7X20","UTILITY","OTHER",1
"8.5X28TA4","ORANGE","OTHER",1
"883","883","OTHER",1
"9X10","TRAILER","OTHER",1
"A","A","OTHER",3
"A","D500","OTHER",1
"A LINER","TRAILER","OTHER",1
"A PLUS","FLATBED","OTHER",1
"A-Z MFG","TRAILER","OTHER",1
"A&F","UTILITY","OTHER",1
"ABA","AVALACHE","OTHER",1
"ABARTH","500","OTHER",1
"ACC","BT","OTHER",1
"ACE","BOAT","OTHER",2
"ACE","EV029","OTHER",1
"ACE","MOTORHOME","OTHER",1
"ACE ARROW","CAMPER","OTHER",1
"ACG","CUMBERLAND","OTHER",1
"ACG","ESCALADE","OTHER",1
"ACG","EXPRESS","OTHER",1
"ACG","GOLF","OTHER",1
"ACG","H3","OTHER",1
"ACG","T-SPORT","OTHER",1
"ACG","TOMBERLIN","OTHER",2
"ACMAS","UT","OTHER",1
"ACME","UT","OTHER",1
"ACURA","<MODEL>","OTHER",1
"ACURA","1.6EL","OTHER",1
"ACURA","1.7EL","OTHER",2
"ACURA","2.2CL","OTHER",8
"ACURA","2.3CL","OTHER",4
"ACURA","3.0CL","OTHER",14
"ACURA","3.2CL","OTHER",12
"ACURA","3.5","OTHER",1
"ACURA","CL","MID",11141
"ACURA","COUGAR","OTHER",1
"ACURA","CSX","OTHER",12
"ACURA","DSX","OTHER",1
"ACURA","EL","OTHER",6
"ACURA","ILX","MID",10637
"ACURA","INTEGRA","COMPACT",15356
"ACURA","LEGEND","MID",3460
"ACURA","LX","OTHER",1
"ACURA","MDX","SUV",98231
"ACURA","NSX","LUX SPORT",346
"ACURA","RDX","SUV",31121
"ACURA","RDX,","OTHER",1
"ACURA","RDX.","OTHER",1
"ACURA","RL","MID",17555
"ACURA","RSX","COMPACT",15103
"ACURA","SLX","SUV",187
"ACURA","SUV","OTHER",1
"ACURA","T","OTHER",1
"ACURA","TL","MID",133688
"ACURA","TRAILER","OTHER",2
"ACURA","TSX","MID",52539
"ACURA","VIGOR","COMPACT",352
"ACURA","ZDX","SUV",607
"ADAM","2","OTHER",1
"ADAM","ADAM","OTHER",1
"ADAM","HORSE","OTHER",2
"ADAM","JULITE","OTHER",1
"ADAM","TRAILER","OTHER",1
"ADAMS","LIVE","OTHER",1
"ADAMS","LIVESTOCK","OTHER",1
"ADAMS","TRAILER","OTHER",1
"ADDAMS","TRAILER","OTHER",1
"ADRELINE","TRAILER","OTHER",1
"ADVENTUER","MOTOR","OTHER",1
"ADVENTURE","MINI","OTHER",1
"ADVENTURE","SPORT","OTHER",1
"AERO","CT","OTHER",1
"AERO","POPUP","OTHER",1
"AERO","TRLR","OTHER",1
"AERO LITE","TRAILER","OTHER",1
"AEROLITE","24/SC","OTHER",1
"AEROLITE","HYBRID","OTHER",1
"AEROLITE","SUPER","OTHER",2
"AEROLITE","TRAVEL","OTHER",1
"AG MADE","AUTO","OTHER",1
"AGRICULTURE","FARM","OTHER",1
"AI","SLAMMER","OTHER",1
"AIR","COMPRESSOR","OTHER",1
"AIR","COMPRESSORS","OTHER",1
"AIR","STREAM","OTHER",1
"AIR","STREEM","OTHER",1
"AIR","TANK","OTHER",1
"AIR BUS","REXALL","OTHER",1
"AIR NATIQUE","BOAT","OTHER",1
"AIR STREAM","28FT","OTHER",1
"AIR STREAM","300","OTHER",1
"AIR STREAM","4","OTHER",1
"AIR STREAM","AIR","OTHER",1
"AIR STREAM","CL30","OTHER",1
"AIR STREAM","EXCELLA","OTHER",1
"AIR STREAM","FLYING","OTHER",3
"AIR STREAM","INTERSTATE","OTHER",1
"AIR STREAM","SAFARI","OTHER",1
"AIR STREAM","TRAILER","OTHER",2
"AIREX","AIRBUS","OTHER",1
"AIRFLOW","2","OTHER",1
"AIRIST","INTERSTATE","OTHER",1
"AIRLIGHT","AIRLIGHT","OTHER",1
"AIRN","TX","OTHER",1
"AIRPOD","280","OTHER",1
"AIRX","RV","OTHER",1
"AL-CO","GOOSE","OTHER",1
"ALADDIN","HIDEAWAY","OTHER",1
"ALDA","ALDA","OTHER",1
"ALEGRA","MOTOR","OTHER",1
"ALEGRO","M31","OTHER",1
"ALEGRO","OPEN","OTHER",1
"ALFA_ROMEO","164","OTHER",40
"ALFA_ROMEO","166","OTHER",1
"ALFA_ROMEO","32RK","OTHER",1
"ALFA_ROMEO","4C","OTHER",51
"ALFA_ROMEO","626","OTHER",1
"ALFA_ROMEO","ALFA","OTHER",1
"ALFA_ROMEO","DOLLEY","OTHER",1
"ALFA_ROMEO","GIULIA","OTHER",312
"ALFA_ROMEO","GOLD","OTHER",2
"ALFA_ROMEO","GTV-6","OTHER",18
"ALFA_ROMEO","MILANO","OTHER",11
"ALFA_ROMEO","Q4","OTHER",1
"ALFA_ROMEO","ROMEO","OTHER",1
"ALFA_ROMEO","SEEYA","OTHER",1
"ALFA_ROMEO","SPIDER","LUX SPORT",247
"ALFA_ROMEO","STELVIO","OTHER",65
"ALINE","TRAILER","OTHER",1
"ALINER","ALINER","OTHER",1
"ALINER","CAMPER","OTHER",2
"ALINER","LX","OTHER",1
"ALINER","TRAVEL","OTHER",2
"ALL AMERICAN","WOLVERINE","OTHER",1
"ALL OWNED AND LEASED","TRAILERE","OTHER",1
"ALL PRO","1Z9DT1424DJ213796","OTHER",1
"ALL PRO","DUMP","OTHER",1
"ALL PRO","FLATBED","OTHER",2
"ALLE","CST","OTHER",1
"ALLEERO","TIFFAN","OTHER",1
"ALLEGRA","ALLEGRA","OTHER",1
"ALLEGRA","MOTOR","OTHER",1
"ALLEGRO","30DA","OTHER",1
"ALLEGRO","32BA","OTHER",1
"ALLEGRO","35TSB","OTHER",1
"ALLEGRO","BUS","OTHER",1
"ALLEGRO","CAMPER","OTHER",1
"ALLEGRO","CLASS","OTHER",1
"ALLEGRO","M-31SA","OTHER",1
"ALLEGRO","MOTOR","OTHER",1
"ALLEGRO","MOTORHOME","OTHER",1
"ALLEGRO","PHAETON","OTHER",1
"ALLEGRO","RECREATIONAL","OTHER",1
"ALLEGRO BAY","MOTOR","OTHER",1
"ALLEGRO BAY","MOTORHOME","OTHER",1
"ALLEGRO BAY","TRAVEL","OTHER",1
"ALLEGRO31SA","ALLEGRO31SA","OTHER",1
"ALLISON","TRAILER","OTHER",1
"ALLURE","COUNTRY","OTHER",1
"ALMA","548LW","OTHER",1
"ALPENLITE","22CT","OTHER",1
"ALPHA","ROMEO","OTHER",1
"ALPHA","SEEYA","OTHER",1
"ALPINE","LIGHT","OTHER",1
"ALPINE","MOTOR","OTHER",1
"ALPINE","TRAVEL","OTHER",1
"ALPINE LIGHT","CYPRESS","OTHER",1
"ALPINELITE","MADINA","OTHER",1
"ALRISE","16FT","OTHER",1
"ALUM","AC","OTHER",1
"ALUM","BOAT","OTHER",1
"ALUM","TRAILER","OTHER",1
"ALUM","UT","OTHER",2
"ALUM","UTL","OTHER",1
"ALUMA","1020","OTHER",1
"ALUMA","7816","OTHER",1
"ALUMA","8220","OTHER",1
"ALUMA","FLATBED","OTHER",1
"ALUMA","TRAILER","OTHER",3
"ALUMA","TRAILOR","OTHER",1
"ALUMA","TRL","OTHER",1
"ALUMA","UT","OTHER",1
"ALUMA","UTILITY","OTHER",2
"ALUMALITE","TRAILER","OTHER",1
"ALUMINAC","CAR","OTHER",1
"ALUMINALITE","DUMP","OTHER",1
"ALUMINUM","BOAT","OTHER",1
"ALUMINUM","CAR","OTHER",1
"ALUMINUM","RACE","OTHER",1
"ALUMINUM","TRAILER","OTHER",2
"AM","GENERAL","OTHER",1
"AMBASSADOR","HOLIDAY","OTHER",1
"AMBULANCE","EMERGENCY","OTHER",1
"AMC","AMC","OTHER",1
"AMC","CHEROKEE","OTHER",1
"AMC","COMANCHE","OTHER",1
"AMC","COMPRESSORS","OTHER",1
"AMC","CONCORD","OTHER",1
"AMC","DELOREAN","OTHER",1
"AMC","EAGLE","OTHER",4
"AMC","HUMVEE","OTHER",1
"AMC","PICKUP","OTHER",1
"AMC","TRAILER","OTHER",1
"AMER","TRLR","OTHER",1
"AMER","UT","OTHER",2
"AMER","UTILITY","OTHER",1
"AMERA","BOAT","OTHER",1
"AMERI-LITE","CAMPER","OTHER",1
"AMERICACAMP","SRX","OTHER",1
"AMERICAN","1OFT","OTHER",1
"AMERICAN","20FT","OTHER",1
"AMERICAN","7225","OTHER",1
"AMERICAN","BOAT","OTHER",2
"AMERICAN","CHALLENGER","OTHER",1
"AMERICAN","FLAT","OTHER",1
"AMERICAN","FLATBED","OTHER",1
"AMERICAN","HAULER","OTHER",3
"AMERICAN","IRON","OTHER",3
"AMERICAN","NH6125A","OTHER",1
"AMERICAN","STAR","OTHER",1
"AMERICAN","TRAILER","OTHER",4
"AMERICAN","UT","OTHER",1
"AMERICAN","UTIL","OTHER",1
"AMERICAN","UTILITY","OTHER",2
"AMERICAN HAILER","UTILITY","OTHER",1
"AMERICAN IRON","TEXAS","OTHER",1
"AMERLITE","TRAVEL","OTHER",1
"AMO","AMERICAN","OTHER",1
